measure_normalized,display_name,row_kind,unsupported_reason,year,threshold_key,threshold_label,actual,full_market_simulated,full_market_delta,client_simulated,client_delta,diff_simulated,inverted,sample_size_full_market,sample_size_client,mae_full_market,mae_client,tukey_applied,guardrails_applied,methodology_method,methodology_fold_count,methodology_seed,methodology_tukey_starts_year
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2026,twoStar,2★ Threshold,65,65,0,65,0,0,false,320,185,0.2,0.45,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2026,threeStar,3★ Threshold,86,86,0,86,0,0,false,320,185,0.2,0.45,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2026,fourStar,4★ Threshold,95,95.4,0.4,95.3,0.3,-0.1,false,320,185,0.2,0.45,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2026,fiveStar,5★ Threshold,99,98.6,-0.4,97.5,-1.5,-1.1,false,320,185,0.2,0.45,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2023,twoStar,2★ Threshold,43,44,1,54,11,10,false,531,275,1.55,6,false,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2023,threeStar,3★ Threshold,60,57.6,-2.4,67,7,9.4,false,531,275,1.55,6,false,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2023,fourStar,4★ Threshold,71,69.1,-1.9,75.3,4.3,6.2,false,531,275,1.55,6,false,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2023,fiveStar,5★ Threshold,79,78.1,-0.9,80.7,1.7,2.6,false,531,275,1.55,6,false,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2024,twoStar,2★ Threshold,48,45.9,-2.1,48,0,2.1,false,558,305,1.07,1.35,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2024,threeStar,3★ Threshold,60,61.4,1.4,63.3,3.3,1.9,false,558,305,1.07,1.35,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2024,fourStar,4★ Threshold,71,70.5,-0.5,72.2,1.2,1.7,false,558,305,1.07,1.35,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2024,fiveStar,5★ Threshold,80,79.7,-0.3,79.1,-0.9,-0.6,false,558,305,1.07,1.35,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2025,twoStar,2★ Threshold,53,53,0,53,0,0,false,537,317,0.05,2,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2025,threeStar,3★ Threshold,65,65,0,65,0,0,false,537,317,0.05,2,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2025,fourStar,4★ Threshold,75,75,0,72.8,-2.2,-2.2,false,537,317,0.05,2,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2025,fiveStar,5★ Threshold,83,83.2,0.2,77.2,-5.8,-6,false,537,317,0.05,2,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2026,twoStar,2★ Threshold,48,52.7,4.7,56.3,8.3,3.6,false,539,315,2.45,4.42,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2026,threeStar,3★ Threshold,60,63.3,3.3,66,6,2.7,false,539,315,2.45,4.42,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2026,fourStar,4★ Threshold,70,71.6,1.6,72,2,0.4,false,539,315,2.45,4.42,true,true,clustering,10,8675309,2024
colorectal cancer screening partc,Colorectal Cancer Screening,threshold,,2026,fiveStar,5★ Threshold,78,78.2,0.2,79.4,1.4,1.2,false,539,315,2.45,4.42,true,true,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2023,twoStar,2★ Threshold,1.53,1.9,0.37,1.42,-0.11,-0.48,true,518,277,0.12,0.09,false,false,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2023,threeStar,3★ Threshold,0.89,0.97,0.08,0.72,-0.17,-0.25,true,518,277,0.12,0.09,false,false,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2023,fourStar,4★ Threshold,0.5,0.49,-0.01,0.49,-0.01,0,true,518,277,0.12,0.09,false,false,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2023,fiveStar,5★ Threshold,0.19,0.2,0.01,0.24,0.05,0.04,true,518,277,0.12,0.09,false,false,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2024,twoStar,2★ Threshold,1.46,0.85,-0.61,0.82,-0.64,-0.03,true,528,298,0.26,0.27,true,true,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2024,threeStar,3★ Threshold,0.83,0.56,-0.27,0.54,-0.29,-0.02,true,528,298,0.26,0.27,true,true,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2024,fourStar,4★ Threshold,0.44,0.35,-0.09,0.35,-0.09,0,true,528,298,0.26,0.27,true,true,clustering,10,8675309,2024
complaints about the drug plan partd,Complaints about the Drug Plan,threshold,,2024,fiveStar,5★ Threshold,0.14,0.19,0.05,0.19,0.05,0,true,528,298,0.26,0.27,true,true,clustering,10,8675309,2024
